codigo_ibge;uf;municipio;ano;cabecas
1500131;PA;Abel Figueiredo;2021;45670
1500206;PA;Acará;2021;15184
1500305;PA;Afuá;2021;1842
1500347;PA;Água Azul do Norte;2021;688758
1500404;PA;Alenquer;2021;237509
1500503;PA;Almeirim;2021;26966
1500602;PA;Altamira;2021;904271
1500701;PA;Anajás;2021;1310
1500800;PA;Ananindeua;2021;50
1500859;PA;Anapu;2021;337782
1500909;PA;Augusto Corrêa;2021;3549
1500958;PA;Aurora do Pará;2021;77764
1501006;PA;Aveiro;2021;64029
1501105;PA;Bagre;2021;914
1501204;PA;Baião;2021;68000
1501253;PA;Bannach;2021;306881
1501303;PA;Barcarena;2021;750
1501402;PA;Belém;2021;77
1501451;PA;Belterra;2021;23313
1501501;PA;Benevides;2021;2046
1501576;PA;Bom Jesus do Tocantins;2021;239262
1501600;PA;Bonito;2021;9914
1501709;PA;Bragança;2021;37572
1501725;PA;Brasil Novo;2021;289288
1501758;PA;Brejo Grande do Araguaia;2021;130890
1501782;PA;Breu Branco;2021;183660
1501808;PA;Breves;2021;1230
1501907;PA;Bujaru;2021;6823
1501956;PA;Cachoeira do Piriá;2021;48857
1502004;PA;Cachoeira do Arari;2021;43400
1502103;PA;Cametá;2021;450
1502152;PA;Canaã dos Carajás;2021;224547
1502202;PA;Capanema;2021;24966
1502301;PA;Capitão Poço;2021;106921
1502400;PA;Castanhal;2021;36446
1502509;PA;Chaves;2021;68018
1502608;PA;Colares;2021;665
1502707;PA;Conceição do Araguaia;2021;298233
1502756;PA;Concórdia do Pará;2021;13572
1502764;PA;Cumaru do Norte;2021;733564
1502772;PA;Curionópolis;2021;257434
1502806;PA;Curralinho;2021;115
1502855;PA;Curuá;2021;45914
1502905;PA;Curuçá;2021;3395
1502939;PA;Dom Eliseu;2021;86915
1502954;PA;Eldorado do Carajás;2021;399164
1503002;PA;Faro;2021;2759
1503044;PA;Floresta do Araguaia;2021;208454
1503077;PA;Garrafão do Norte;2021;65689
1503093;PA;Goianésia do Pará;2021;313412
1503101;PA;Gurupá;2021;1202
1503200;PA;Igarapé-Açu;2021;21371
1503309;PA;Igarapé-Miri;2021;2100
1503408;PA;Inhangapi;2021;15190
1503457;PA;Ipixuna do Pará;2021;121524
1503507;PA;Irituia;2021;72653
1503606;PA;Itaituba;2021;342732
1503705;PA;Itupiranga;2021;703887
1503754;PA;Jacareacanga;2021;82470
1503804;PA;Jacundá;2021;184253
1503903;PA;Juruti;2021;43129
1504000;PA;Limoeiro do Ajuru;2021;15
1504059;PA;Mãe do Rio;2021;45814
1504109;PA;Magalhães Barata;2021;1301
1504208;PA;Marabá;2021;1478450
1504307;PA;Maracanã;2021;3934
1504406;PA;Marapanim;2021;4826
1504422;PA;Marituba;2021;48
1504455;PA;Medicilândia;2021;201281
1504505;PA;Melgaço;2021;1150
1504604;PA;Mocajuba;2021;824
1504703;PA;Moju;2021;85000
1504752;PA;Mojuí dos Campos;2021;17684
1504802;PA;Monte Alegre;2021;281287
1504901;PA;Muaná;2021;6100
1504950;PA;Nova Esperança do Piriá;2021;60073
1504976;PA;Nova Ipixuna;2021;136566
1505007;PA;Nova Timboteua;2021;24104
1505031;PA;Novo Progresso;2021;642252
1505064;PA;Novo Repartimento;2021;1155609
1505106;PA;Óbidos;2021;160052
1505205;PA;Oeiras do Pará;2021;4078
1505304;PA;Oriximiná;2021;131126
1505403;PA;Ourém;2021;18499
1505437;PA;Ourilândia do Norte;2021;226851
1505486;PA;Pacajá;2021;733530
1505494;PA;Palestina do Pará;2021;109618
1505502;PA;Paragominas;2021;367490
1505536;PA;Parauapebas;2021;134265
1505551;PA;Pau D'Arco;2021;115762
1505601;PA;Peixe-Boi;2021;16502
1505635;PA;Piçarra;2021;407513
1505650;PA;Placas;2021;165125
1505700;PA;Ponta de Pedras;2021;36600
1505809;PA;Portel;2021;38470
1505908;PA;Porto de Moz;2021;68230
1506005;PA;Prainha;2021;155337
1506104;PA;Primavera;2021;3465
1506112;PA;Quatipuru;2021;652
1506138;PA;Redenção;2021;323258
1506161;PA;Rio Maria;2021;501659
1506187;PA;Rondon do Pará;2021;357772
1506195;PA;Rurópolis;2021;181438
