ano;mes;uf;especie;abatidos
2021;8;PI;BOVINOS;112
2021;8;PR;BOVINOS;58529
2021;8;RJ;BOVINOS;3372
2021;8;RO;BOVINOS;174209
2021;8;RR;BOVINOS;2073
2021;8;RS;BOVINOS;57866
2021;8;SC;BOVINOS;9459
2021;8;SP;BOVINOS;222920
2021;8;TO;BOVINOS;83749
2021;9;AC;BOVINOS;13764
2021;9;AM;BOVINOS;3234
2021;9;BA;BOVINOS;19188
2021;9;DF;BOVINOS;13
2021;9;ES;BOVINOS;3435
2021;9;GO;BOVINOS;182066
2021;9;MA;BOVINOS;31783
2021;9;MG;BOVINOS;123615
2021;9;MS;BOVINOS;136408
2021;9;MT;BOVINOS;309107
2021;9;PA;BOVINOS;119239
2021;9;PR;BOVINOS;55647
2021;9;RJ;BOVINOS;1191
2021;9;RO;BOVINOS;86683
2021;9;RR;BOVINOS;2144
2021;9;RS;BOVINOS;59058
2021;9;SC;BOVINOS;9224
2021;9;SP;BOVINOS;148914
2021;9;TO;BOVINOS;54277
2021;10;AC;BOVINOS;11047
2021;10;AM;BOVINOS;2071
2021;10;BA;BOVINOS;22357
2021;10;DF;BOVINOS;22
2021;10;ES;BOVINOS;4090
2021;10;GO;BOVINOS;217330
2021;10;MA;BOVINOS;25434
2021;10;MG;BOVINOS;137101
2021;10;MS;BOVINOS;177315
2021;10;MT;BOVINOS;344296
2021;10;PA;BOVINOS;133431
2021;10;PI;BOVINOS;116
2021;10;PR;BOVINOS;52132
2021;10;RJ;BOVINOS;889
2021;10;RO;BOVINOS;135201
2021;10;RR;BOVINOS;2115
2021;10;RS;BOVINOS;65589
2021;10;SC;BOVINOS;9418
2021;10;SP;BOVINOS;160279
2021;10;TO;BOVINOS;73293
2021;11;AC;BOVINOS;12202
2021;11;AM;BOVINOS;1988
2021;11;BA;BOVINOS;19620
2021;11;DF;BOVINOS;49
2021;11;ES;BOVINOS;2552
2021;11;GO;BOVINOS;215885
2021;11;MA;BOVINOS;27085
2021;11;MG;BOVINOS;149070
2021;11;MS;BOVINOS;215820
2021;11;MT;BOVINOS;398068
2021;11;PA;BOVINOS;136611
2021;11;PI;BOVINOS;99
2021;11;PR;BOVINOS;50214
